session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
615c81cc09f2b1d39d719dbf,5e9ee7054bf1b1039c9504e5,AWAITING REVIEW,2021-10-05 16:48:46.127000,2021-10-05 17:52:10.992000,3804.865,27,50,1,100,,86C55E73,Italy,Italy,DATA EXPIRED,Italian,"Italian, English, Spanish",Italy,Female,DATA EXPIRED
615c85ae2896ea9c30985bf1,5db05d7b5f543b00171fb6cf,AWAITING REVIEW,2021-10-05 17:04:48.382000,2021-10-05 18:02:05.400000,3437.018,31,87,1,100,,86C55E73,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
615c883ed9c7ab615b63e9aa,5796672b82f7f90001ee966e,AWAITING REVIEW,2021-10-05 17:15:44.426000,2021-10-05 18:05:58.666000,3014.24,23,59,0,100,,86C55E73,Canada,Canada,DATA EXPIRED,French,"English, French",Canada,Female,DATA EXPIRED
615c891404b14d7935e54aa0,5a96d78d6219a30001d32349,TIMED-OUT,2021-10-05 17:19:19.423000,,75478.59178,36,63,3,95,,,United Kingdom,United Kingdom,DATA EXPIRED,English,English,United Kingdom,Female,DATA EXPIRED
615c8a28c969688c22905380,5f627edffdaccd2edb7df1fb,AWAITING REVIEW,2021-10-05 17:24:03.608000,2021-10-05 18:41:39.952000,4656.344,19,29,0,100,,86C55E73,Mexico,Mexico,DATA EXPIRED,Spanish,"Spanish, English",Mexico,Female,DATA EXPIRED
615c8aabd555ca1d054bbd61,5c0832dadf538b00016d2b7c,AWAITING REVIEW,2021-10-05 17:26:08.931000,2021-10-05 18:48:09.857000,4920.926,33,96,0,100,,86C55E73,Iceland,Iceland,Part-Time,Icelandic,"Icelandic, English",Iceland,Female,Yes
615c8b5d792161561e6cc86c,613b6732bcd81aedfdf51a85,AWAITING REVIEW,2021-10-05 17:29:05.142000,2021-10-05 19:04:43.179000,5738.037,23,23,0,100,,86C55E73,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,No
615c8bb165d5c73de8bf4fe2,612939df4b7236b55b3d3d4b,AWAITING REVIEW,2021-10-05 17:30:31.625000,2021-10-05 18:33:42.652000,3791.027,23,20,0,100,,86C55E73,France,Portugal,Other,Portuguese,"English, Portuguese",Portugal,Female,Yes
615c8bd898426954ab239377,5e7d3baff531b7000a386898,RETURNED,2021-10-05 17:31:06.542000,,74771.658132,22,54,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
615c8bf02667b0c02b20b55e,5f67c7a240690611023dd673,AWAITING REVIEW,2021-10-05 17:31:31.318000,2021-10-05 18:42:36.569000,4265.251,20,36,0,100,,86C55E73,Poland,Poland,Other,Polish,"English, Polish",Poland,Female,Yes
615c8c30d0de675d4fd26258,613bb9868c7332daee25eabb,AWAITING REVIEW,2021-10-05 17:32:32.681000,2021-10-05 18:55:58.072000,5005.391,20,24,1,99,,D480B16D,Mexico,Mexico,Unemployed (and job seeking),Spanish,"Spanish, Portuguese, English",Mexico,Female,Yes
615c8d018059018a06bd8950,5f2e44f216a1ff1a52476083,AWAITING REVIEW,2021-10-05 17:36:05.742000,2021-10-05 18:47:33.087000,4287.345,23,59,1,100,,86C55E73,Mexico,Mexico,DATA EXPIRED,Spanish,"English, Spanish",Mexico,Female,DATA EXPIRED
615c8d1880fff75c24472007,5e24c30506121f736cefccc0,AWAITING REVIEW,2021-10-05 17:36:54.491000,2021-10-05 18:55:40.616000,4726.125,41,115,1,100,,86C55E73,Poland,Poland,DATA EXPIRED,Polish,"Spanish, English, Polish",Poland,Female,DATA EXPIRED
615c8d377f55597c7c9a72f0,5b5dc988195185000182fda5,AWAITING REVIEW,2021-10-05 17:36:59.287000,2021-10-05 18:29:26.917000,3147.63,29,30,0,100,,86C55E73,Switzerland,Switzerland,Part-Time,German,"English, German, Spanish",Switzerland,Female,No
615c8d808d07eace006da474,613ae70422365c9f55cb1bfe,AWAITING REVIEW,2021-10-05 17:41:33.586000,2021-10-05 19:28:27.045000,6413.459,18,21,0,100,,86C55E73,Mexico,Mexico,Other,Spanish,English,Mexico,Female,Yes
615c8dca8aaf8269a46ccbb5,613a7218f9ec43822c2bd5fe,AWAITING REVIEW,2021-10-05 17:39:22.591000,2021-10-05 18:36:55.245000,3452.654,20,20,0,100,,86C55E73,Mexico,Mexico,Part-Time,Spanish,"English, Spanish, Italian",Mexico,Female,Yes
615c8e0a1118a861397e78eb,6029a5e3d83eed936967857c,AWAITING REVIEW,2021-10-05 17:40:32.295000,2021-10-05 18:40:46.976000,3614.681,21,31,0,100,,86C55E73,Poland,Poland,Part-Time,Polish,"English, Polish, Russian",Poland,Female,Yes
615c8e5b90c13b7183d2ccbb,5f3afe238baa007dd525b4e7,AWAITING REVIEW,2021-10-05 17:41:47.051000,2021-10-05 18:59:52.603000,4685.552,25,45,1,100,,86C55E73,Mexico,Mexico,DATA EXPIRED,Spanish,"English, Spanish",Mexico,Female,DATA EXPIRED
615c8e662003736b45f9b93f,612bf5acefbf7a678c8b6ba5,AWAITING REVIEW,2021-10-05 17:42:00.650000,2021-10-05 18:39:28.190000,3447.54,28,20,0,100,,86C55E73,Spain,Spain,Unemployed (and job seeking),Spanish,"Spanish, English",Spain,Female,Yes
615c8e847e797f8488e74d1f,61412d8b80e3b72f1612c408,AWAITING REVIEW,2021-10-05 17:42:28.389000,2021-10-05 19:40:09.671000,7061.282,29,20,0,100,,86C55E73,Mexico,Mexico,Full-Time,Spanish,"English, Spanish",Mexico,Female,Yes
615c8e9b1fb0775f479b7ee5,61372302239d43c4d8d308d6,AWAITING REVIEW,2021-10-05 17:43:02.528000,2021-10-05 18:56:45.235000,4422.707,30,31,1,99,,86C55E73,South Africa,South Africa,Part-Time,DATA EXPIRED,"Afrikaans, English",South Africa,Female,No
615c8ea48f2603f68a9dc141,613a8d9064fa145e4b932130,AWAITING REVIEW,2021-10-05 17:43:06.125000,2021-10-05 18:46:43.010000,3816.885,21,21,0,100,,86C55E73,Mexico,Mexico,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,English,Mexico,Female,Yes
615c8eb27723430429616862,6138b548cc872cc7edbfac1e,AWAITING REVIEW,2021-10-05 17:43:16.448000,2021-10-05 18:41:37.590000,3501.142,23,20,0,100,,86C55E73,Portugal,Portugal,Other,Portuguese,"English, Portuguese, Spanish",Portugal,Female,Yes
615c8ebf44cddfc4cbcaa391,5dadfe59e5c30a001186bbd0,AWAITING REVIEW,2021-10-05 17:49:38.142000,2021-10-05 18:40:42.995000,3064.853,36,96,1,100,,86C55E73,United Kingdom,United Kingdom,DATA EXPIRED,English,English,United Kingdom,Female,DATA EXPIRED
615c8f15c0e7fdeb044d0f56,610998862cd55208600bbf79,AWAITING REVIEW,2021-10-05 17:45:01.265000,2021-10-05 19:31:57.632000,6416.367,24,23,0,100,,86C55E73,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Female,No
615c8f161a7c43fa429912ec,613e9d6607e364119ed11937,AWAITING REVIEW,2021-10-05 17:52:20.503000,2021-10-05 19:21:30.909000,5350.406,27,22,1,99,,86C55E73,Mexico,Mexico,Unemployed (and job seeking),Spanish,"Spanish, Italian, English",Mexico,Female,Yes
615c8f24a1baf6e57bd73784,613aea5a0185607164cedaa5,AWAITING REVIEW,2021-10-05 17:45:21.285000,2021-10-05 19:00:03.919000,4482.634,23,21,0,100,,86C55E73,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,Yes
615c8f2f2c7ba72950302be7,613908791cbd2f097b2f7707,AWAITING REVIEW,2021-10-05 17:45:35.701000,2021-10-05 19:02:39.119000,4623.418,21,23,0,100,,86C55E73,Mexico,Mexico,Part-Time,Spanish,"English, Spanish",Mexico,Female,Yes
615c8f3651d664e586c18e30,612b9799e8e392b2c87f08cf,AWAITING REVIEW,2021-10-05 17:48:07.043000,2021-10-05 19:25:58.505000,5871.462,20,21,1,98,,86C55E73,Portugal,Portugal,Part-Time,Portuguese,"English, Portuguese, Spanish",Portugal,Female,Yes
615c8f40f9da832561b311f7,5f50352e1f546c1b88f0fc38,RETURNED,2021-10-05 17:55:36.677000,,73302.262583,21,61,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
615c8f53eafb10e693d9e972,6118baeaa805dfacca23520b,AWAITING REVIEW,2021-10-05 17:45:55.450000,2021-10-05 18:53:18.477000,4043.027,23,29,0,100,,86C55E73,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Italian, Spanish",Mexico,Female,No
615c8f778f56b0fe2028e20e,6109c35c245267126fca5d0d,AWAITING REVIEW,2021-10-05 17:46:49.412000,2021-10-05 18:56:49.382000,4199.97,19,30,0,100,,86C55E73,Belgium,Belgium,Other,Dutch,"Dutch, English",Belgium,Female,Yes
615c8f793e0c32febb85970c,60586de285771e597c5458cc,AWAITING REVIEW,2021-10-05 17:46:33.541000,2021-10-05 18:27:40.403000,2466.862,21,23,0,100,,86C55E73,Slovenia,Slovenia,Other,Slovenian,"English, Slovenian",Slovenia,Female,Yes
615c8f7b7678bc73aa75f4dd,5929e024943e670001cde06b,AWAITING REVIEW,2021-10-05 17:46:37.096000,2021-10-05 18:36:35.423000,2998.327,28,102,1,100,,86C55E73,United Kingdom,United Kingdom,Due to start a new job within the next month,English,English,United Kingdom,Female,No
615c8f98d2a9eefe5b52f2c4,5f591a1be30bf81170acf5b9,AWAITING REVIEW,2021-10-05 17:47:07.657000,2021-10-05 19:36:02.790000,6535.133,22,58,1,100,,86C55E73,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Portugal,Female,Yes
615c8fd4bcb83e0f3679bb7f,6130e6f71947d9db1884079b,AWAITING REVIEW,2021-10-05 17:48:06.612000,2021-10-05 19:01:41.060000,4414.448,18,25,0,100,,86C55E73,Poland,Poland,Due to start a new job within the next month,Polish,"English, Polish",Poland,Female,Yes
615c8fd81d6c9cdfb65d23e5,6139054782b8fe197a53bc7d,AWAITING REVIEW,2021-10-05 17:48:13.811000,2021-10-05 19:10:05.712000,4911.901,24,20,0,100,,86C55E73,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,Yes
615c8ff5eb87b2a37fb091cd,613a4e942ec6f9878dae86f1,AWAITING REVIEW,2021-10-05 17:48:37.196000,2021-10-05 18:38:43.977000,3006.781,24,24,0,100,,86C55E73,Mexico,Mexico,Full-Time,Spanish,"English, Spanish",Mexico,Female,No
615c90437636ed4e0e4815f7,6132408de0bdd59f2432c10b,RETURNED,2021-10-05 17:49:59.334000,,73639.845988,25,23,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
615c9048a51d38157268d166,613e178f559063a7107f15e7,RETURNED,2021-10-05 17:53:47.011000,,73412.195696,24,24,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
615c905c0417277344ed0692,60253f70e3734903217abed1,AWAITING REVIEW,2021-10-05 17:50:20.954000,2021-10-05 19:02:21.534000,4320.58,20,61,0,100,,86C55E73,Portugal,Portugal,DATA EXPIRED,Portuguese,"Portuguese, English, Spanish",Portugal,Female,DATA EXPIRED
615c907bc62cee0590b0700f,604ba80ddb72e25932371440,AWAITING REVIEW,2021-10-05 17:50:51.754000,2021-10-05 18:36:57.030000,2765.276,22,33,0,100,,86C55E73,Portugal,Portugal,DATA EXPIRED,Portuguese,"English, Portuguese",Portugal,Female,DATA EXPIRED
615c90abe8931d79ae257216,601d727d65282d0dda881dcf,AWAITING REVIEW,2021-10-05 17:51:44.379000,2021-10-05 18:50:03.744000,3499.365,19,58,1,100,,86C55E73,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Portugal,Female,Yes
615c90b386a537edde94ac5d,5c44a1a111a0c200016ff5ba,AWAITING REVIEW,2021-10-05 17:52:06.880000,2021-10-05 18:44:51.428000,3164.548,24,234,1,100,,86C55E73,United Kingdom,United Kingdom,DATA EXPIRED,English,English,United Kingdom,Female,DATA EXPIRED
615c90d13e93f1dd0671335c,6121f4cae0c5ac4b7e05e3ec,RETURNED,2021-10-05 17:52:32.163000,,73487.203105,20,25,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
615c90d576bf475d089a915c,60dba78548f38392b2250bf2,AWAITING REVIEW,2021-10-05 17:56:45.636000,2021-10-05 19:58:27.421000,7301.785,21,23,2,96,,86C55E73,DATA EXPIRED,South Africa,DATA EXPIRED,DATA EXPIRED,English,South Africa,Female,DATA EXPIRED
615c90fbad8cfef0cfdb579b,613a7ca0c1800b1751d64ef1,AWAITING REVIEW,2021-10-05 17:53:19.602000,2021-10-05 19:01:57.753000,4118.151,24,20,0,100,,86C55E73,Mexico,Mexico,Unemployed (and job seeking),Spanish,"Spanish, English",Mexico,Female,No
615c910bc1f60cc5ecf31e15,610709b068f44077072d27b5,AWAITING REVIEW,2021-10-05 17:56:48.916000,2021-10-05 19:24:26.048000,5257.132,20,21,0,100,,86C55E73,Slovenia,Slovenia,Part-Time,Slovenian,"English, Slovenian",Slovenia,Female,Yes
615c91243885625db2ca5080,613a731981ce3c31716018be,AWAITING REVIEW,2021-10-05 17:53:43.218000,2021-10-05 18:49:09.192000,3325.974,25,22,0,100,,86C55E73,Mexico,Mexico,Part-Time,Spanish,"English, Spanish",Mexico,Female,No
615c91316db4fbf1ceca8e39,6111a53d3e49f206fb281f84,AWAITING REVIEW,2021-10-05 17:53:53.664000,2021-10-05 19:04:42.983000,4249.319,27,24,0,100,,86C55E73,Greece,Greece,Part-Time,Greek,"Greek, English",Greece,Female,Yes
615c915605d476ec347a0cb5,5de2cac379af44000dd574b1,AWAITING REVIEW,2021-10-05 17:54:39.208000,2021-10-05 19:56:41.339000,7322.131,27,189,1,100,,86C55E73,Bahamas,Canada,DATA EXPIRED,English,English,Canada,Female,DATA EXPIRED
615c91579e5ad70213140235,613a5b5169bcf5f51bbc43bd,AWAITING REVIEW,2021-10-05 17:54:49.202000,2021-10-05 19:01:46.270000,4017.068,19,21,0,100,,86C55E73,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,Yes
615c91be81b0d3b3a6a1c72b,5c813f9e40650900116d13aa,AWAITING REVIEW,2021-10-05 17:56:16.309000,2021-10-05 18:51:20.229000,3303.92,21,46,0,100,,86C55E73,Greece,Netherlands,Part-Time,Greek,"English, Serbian, Greek",Greece,Female,Yes
615c92473379b6e765bf3c3d,613a4cae09206ef2b68f9bb3,AWAITING REVIEW,2021-10-05 17:59:49.332000,2021-10-05 18:51:41.941000,3112.609,25,24,0,100,,86C55E73,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,No
615c9c6e813fc714ef91794f,6107d55f3aa95291f0ff52bd,AWAITING REVIEW,2021-10-05 18:42:16.700000,2021-10-05 19:42:24.727000,3608.027,20,28,0,100,,86C55E73,Poland,Poland,Other,Polish,"Polish, English",Poland,Female,Yes
615ca7c9e2b2b73b45e5d7c9,5ae6313e58af2400010a4a7d,AWAITING REVIEW,2021-10-05 19:30:23.992000,2021-10-05 20:36:43.380000,3979.388,45,368,1,100,,86C55E73,Spain,Ireland,DATA EXPIRED,Spanish,"Catalan, English, Spanish",Spain,Female,DATA EXPIRED
